month,customer_id,plan,event,mrr
2022-01,1000,pro,new,79
2022-01,1001,starter,new,29
2022-01,1002,pro,new,79
2022-01,1003,starter,new,29
2022-01,1004,starter,new,29
2022-01,1005,enterprise,new,199
2022-01,1006,enterprise,new,199
2022-01,1007,pro,new,79
2022-01,1008,starter,new,29
2022-01,1009,starter,new,29
2022-01,1010,pro,new,79
2022-01,1011,starter,new,29
2022-01,1012,starter,new,29
2022-01,1013,starter,new,29
2022-01,1014,starter,new,29
2022-01,1015,enterprise,new,199
2022-01,1016,starter,new,29
2022-01,1017,pro,new,79
2022-01,1018,starter,new,29
2022-01,1019,starter,new,29
2022-01,1020,starter,new,29
2022-01,1021,starter,new,29
2022-01,1022,enterprise,new,199
2022-01,1023,pro,new,79
2022-01,1024,enterprise,new,199
2022-01,1025,pro,new,79
2022-01,1026,pro,new,79
2022-01,1027,enterprise,new,199
2022-01,1028,starter,new,29
2022-01,1029,starter,new,29
2022-01,1030,starter,new,29
2022-01,1031,starter,new,29
2022-01,1032,starter,new,29
2022-01,1033,starter,new,29
2022-01,1034,pro,new,79
2022-02,1035,starter,new,29
2022-02,1036,starter,new,29
2022-02,1037,starter,new,29
2022-02,1038,pro,new,79
2022-02,1039,starter,new,29
2022-02,1040,starter,new,29
2022-02,1041,enterprise,new,199
2022-02,1042,starter,new,29
2022-02,1043,starter,new,29
2022-02,1044,pro,new,79
2022-02,1045,starter,new,29
2022-02,1046,starter,new,29
2022-02,1047,starter,new,29
2022-02,1048,starter,new,29
2022-02,1049,enterprise,new,199
2022-02,1050,pro,new,79
2022-02,1051,pro,new,79
2022-02,1052,pro,new,79
2022-02,1053,pro,new,79
2022-02,1054,starter,new,29
2022-02,1055,pro,new,79
2022-02,1056,starter,new,29
2022-02,1057,pro,new,79
2022-02,1058,pro,new,79
2022-02,1059,starter,new,29
2022-02,1060,starter,new,29
2022-02,1061,starter,new,29
2022-02,1062,starter,new,29
2022-02,1063,pro,new,79
2022-02,1064,pro,new,79
2022-02,1065,starter,new,29
2022-02,1066,starter,new,29
2022-02,1067,starter,new,29
2022-02,1068,starter,new,29
2022-02,1000,pro,active,79
2022-02,1001,starter,active,29
2022-02,1002,enterprise,expansion,120
2022-02,1003,starter,active,29
2022-02,1004,starter,active,29
2022-02,1005,enterprise,active,199
2022-02,1006,enterprise,active,199
2022-02,1007,pro,active,79
2022-02,1008,starter,active,29
2022-02,1009,starter,active,29
2022-02,1010,pro,active,79
2022-02,1011,starter,active,29
2022-02,1012,starter,active,29
2022-02,1013,starter,active,29
2022-02,1014,starter,active,29
2022-02,1015,enterprise,active,199
2022-02,1016,starter,active,29
2022-02,1017,enterprise,expansion,120
2022-02,1018,starter,active,29
2022-02,1019,starter,active,29
2022-02,1020,starter,active,29
2022-02,1021,pro,expansion,50
2022-02,1022,enterprise,active,199
2022-02,1023,pro,active,79
2022-02,1024,enterprise,active,199
2022-02,1025,pro,active,79
2022-02,1026,pro,active,79
2022-02,1027,enterprise,active,199
2022-02,1028,starter,active,29
2022-02,1029,starter,active,29
2022-02,1030,starter,active,29
2022-02,1031,starter,churn,-29
2022-02,1032,starter,active,29
2022-02,1033,starter,active,29
2022-02,1034,pro,active,79
2022-03,1069,starter,new,29
2022-03,1070,starter,new,29
2022-03,1071,starter,new,29
2022-03,1072,pro,new,79
2022-03,1073,pro,new,79
2022-03,1074,starter,new,29
2022-03,1075,starter,new,29
2022-03,1076,starter,new,29
2022-03,1077,pro,new,79
2022-03,1078,starter,new,29
2022-03,1079,pro,new,79
2022-03,1080,starter,new,29
2022-03,1081,enterprise,new,199
2022-03,1082,starter,new,29
2022-03,1083,starter,new,29
2022-03,1084,starter,new,29
2022-03,1085,enterprise,new,199
2022-03,1086,pro,new,79
2022-03,1087,starter,new,29
2022-03,1088,pro,new,79
2022-03,1089,pro,new,79
2022-03,1090,starter,new,29
2022-03,1091,starter,new,29
2022-03,1092,starter,new,29
2022-03,1093,starter,new,29
2022-03,1094,pro,new,79
2022-03,1095,enterprise,new,199
2022-03,1096,pro,new,79
2022-03,1097,starter,new,29
2022-03,1098,starter,new,29
2022-03,1099,pro,new,79
2022-03,1100,pro,new,79
2022-03,1101,pro,new,79
2022-03,1102,pro,new,79
2022-03,1103,pro,new,79
2022-03,1104,starter,new,29
2022-03,1105,starter,new,29
2022-03,1106,pro,new,79
2022-03,1107,pro,new,79
2022-03,1108,starter,new,29
2022-03,1109,starter,new,29
2022-03,1110,pro,new,79
2022-03,1111,starter,new,29
2022-03,1112,starter,new,29
2022-03,1113,starter,new,29
2022-03,1000,pro,active,79
2022-03,1001,starter,active,29
2022-03,1002,enterprise,active,199
2022-03,1003,starter,active,29
2022-03,1004,starter,active,29
2022-03,1005,enterprise,active,199
2022-03,1006,enterprise,active,199
2022-03,1007,pro,active,79
2022-03,1008,starter,churn,-29
2022-03,1009,starter,active,29
2022-03,1010,enterprise,expansion,120
2022-03,1011,starter,active,29
2022-03,1012,starter,active,29
2022-03,1013,starter,active,29
2022-03,1014,starter,active,29
2022-03,1015,enterprise,active,199
2022-03,1016,starter,active,29
2022-03,1017,enterprise,active,199
2022-03,1018,starter,active,29
2022-03,1019,starter,active,29
2022-03,1020,starter,active,29
2022-03,1021,pro,active,79
2022-03,1022,enterprise,active,199
2022-03,1023,pro,active,79
2022-03,1024,enterprise,active,199
2022-03,1025,pro,active,79
2022-03,1026,pro,active,79
2022-03,1027,enterprise,active,199
2022-03,1028,starter,active,29
2022-03,1029,starter,active,29
2022-03,1030,starter,active,29
2022-03,1032,starter,active,29
2022-03,1033,starter,active,29
2022-03,1034,pro,active,79
2022-03,1035,starter,active,29
2022-03,1036,starter,active,29
2022-03,1037,starter,active,29
2022-03,1038,pro,active,79
2022-03,1039,starter,active,29
2022-03,1040,starter,active,29
2022-03,1041,enterprise,active,199
2022-03,1042,starter,active,29
2022-03,1043,starter,active,29
2022-03,1044,pro,churn,-79
2022-03,1045,pro,expansion,50
2022-03,1046,starter,active,29
2022-03,1047,pro,expansion,50
2022-03,1048,starter,active,29
2022-03,1049,enterprise,active,199
2022-03,1050,pro,active,79
2022-03,1051,pro,active,79
2022-03,1052,pro,active,79
2022-03,1053,pro,active,79
2022-03,1054,starter,active,29
2022-03,1055,pro,active,79
2022-03,1056,starter,active,29
2022-03,1057,pro,active,79
